Problem:    ModeloFinal
Rows:       407
Columns:    135 (135 integer, 120 binary)
Non-zeros:  850
Status:     INTEGER OPTIMAL
Objective:  beneficioNeto = 21690 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 beneficioNeto
                               21690                             
     2 pbilletes_estandar
                                   0                          -0 
     3 min_leisure[a1]
                                  58            20               
     4 min_leisure[a2]
                                  31            20               
     5 min_leisure[a3]
                                  23            20               
     6 min_leisure[a4]
                                  20            20               
     7 min_leisure[a5]
                                  21            20               
     8 min_business[a1]
                                  13            10               
     9 min_business[a2]
                                  51            10               
    10 min_business[a3]
                                  17            10               
    11 min_business[a4]
                                  30            10               
    12 min_business[a5]
                                  36            10               
    13 max_asientos[a1]
                                  90                          90 
    14 max_asientos[a2]
                                 120                         120 
    15 max_asientos[a3]
                                 200                         200 
    16 max_asientos[a4]
                                 150                         150 
    17 max_asientos[a5]
                                 190                         190 
    18 max_carga[a1]
                                1699                        1700 
    19 max_carga[a2]
                                2698                        2700 
    20 max_carga[a3]
                                1300                        1300 
    21 max_carga[a4]
                                1700                        1700 
    22 max_carga[a5]
                                1993                        2000 
    23 llegadaAvion[a1]
                                   1             1             = 
    24 llegadaAvion[a2]
                                   1             1             = 
    25 llegadaAvion[a3]
                                   1             1             = 
    26 llegadaAvion[a4]
                                   1             1             = 
    27 llegadaAvion[a5]
                                   1             1             = 
    28 costePositivo[a1,p1,1]
                                   0            -0               
    29 costePositivo[a1,p1,2]
                                   0            -0               
    30 costePositivo[a1,p1,3]
                                   0            -0               
    31 costePositivo[a1,p1,4]
                                   0            -0               
    32 costePositivo[a1,p1,5]
                                   0            -0               
    33 costePositivo[a1,p1,6]
                                   0            -0               
    34 costePositivo[a1,p2,1]
                                   0            -0               
    35 costePositivo[a1,p2,2]
                                   0            -0               
    36 costePositivo[a1,p2,3]
                                   0            -0               
    37 costePositivo[a1,p2,4]
                                   0            -0               
    38 costePositivo[a1,p2,5]
                                   0            -0               
    39 costePositivo[a1,p2,6]
                                   0            -0               
    40 costePositivo[a1,p3,1]
                                   0            -0               
    41 costePositivo[a1,p3,2]
                                 500            -0               
    42 costePositivo[a1,p3,3]
                                   0            -0               
    43 costePositivo[a1,p3,4]
                                   0            -0               
    44 costePositivo[a1,p3,5]
                                   0            -0               
    45 costePositivo[a1,p3,6]
                                   0            -0               
    46 costePositivo[a1,p4,1]
                                   0            -0               
    47 costePositivo[a1,p4,2]
                                   0            -0               
    48 costePositivo[a1,p4,3]
                                   0            -0               
    49 costePositivo[a1,p4,4]
                                   0            -0               
    50 costePositivo[a1,p4,5]
                                   0            -0               
    51 costePositivo[a1,p4,6]
                                   0            -0               
    52 costePositivo[a2,p1,1]
                                   0            -0               
    53 costePositivo[a2,p1,2]
                                   0            -0               
    54 costePositivo[a2,p1,3]
                                   0            -0               
    55 costePositivo[a2,p1,4]
                                   0            -0               
    56 costePositivo[a2,p1,5]
                                   0            -0               
    57 costePositivo[a2,p1,6]
                                   0            -0               
    58 costePositivo[a2,p2,1]
                                   0            -0               
    59 costePositivo[a2,p2,2]
                                   0            -0               
    60 costePositivo[a2,p2,3]
                                   0            -0               
    61 costePositivo[a2,p2,4]
                                   0            -0               
    62 costePositivo[a2,p2,5]
                                   0            -0               
    63 costePositivo[a2,p2,6]
                                   0            -0               
    64 costePositivo[a2,p3,1]
                                   0            -0               
    65 costePositivo[a2,p3,2]
                                   0            -0               
    66 costePositivo[a2,p3,3]
                                   0            -0               
    67 costePositivo[a2,p3,4]
                                   0            -0               
    68 costePositivo[a2,p3,5]
                                   0            -0               
    69 costePositivo[a2,p3,6]
                                   0            -0               
    70 costePositivo[a2,p4,1]
                                1000            -0               
    71 costePositivo[a2,p4,2]
                                   0            -0               
    72 costePositivo[a2,p4,3]
                                   0            -0               
    73 costePositivo[a2,p4,4]
                                   0            -0               
    74 costePositivo[a2,p4,5]
                                   0            -0               
    75 costePositivo[a2,p4,6]
                                   0            -0               
    76 costePositivo[a3,p1,1]
                                   0            -0               
    77 costePositivo[a3,p1,2]
                                   0            -0               
    78 costePositivo[a3,p1,3]
                                   0            -0               
    79 costePositivo[a3,p1,4]
                                   0            -0               
    80 costePositivo[a3,p1,5]
                                   0            -0               
    81 costePositivo[a3,p1,6]
                                   0            -0               
    82 costePositivo[a3,p2,1]
                                   0            -0               
    83 costePositivo[a3,p2,2]
                                   0            -0               
    84 costePositivo[a3,p2,3]
                                   0            -0               
    85 costePositivo[a3,p2,4]
                                 750            -0               
    86 costePositivo[a3,p2,5]
                                   0            -0               
    87 costePositivo[a3,p2,6]
                                   0            -0               
    88 costePositivo[a3,p3,1]
                                   0            -0               
    89 costePositivo[a3,p3,2]
                                   0            -0               
    90 costePositivo[a3,p3,3]
                                   0            -0               
    91 costePositivo[a3,p3,4]
                                   0            -0               
    92 costePositivo[a3,p3,5]
                                   0            -0               
    93 costePositivo[a3,p3,6]
                                   0            -0               
    94 costePositivo[a3,p4,1]
                                   0            -0               
    95 costePositivo[a3,p4,2]
                                   0            -0               
    96 costePositivo[a3,p4,3]
                                   0            -0               
    97 costePositivo[a3,p4,4]
                                   0            -0               
    98 costePositivo[a3,p4,5]
                                   0            -0               
    99 costePositivo[a3,p4,6]
                                   0            -0               
   100 costePositivo[a4,p1,1]
                                   0            -0               
   101 costePositivo[a4,p1,2]
                                   0            -0               
   102 costePositivo[a4,p1,3]
                                   0            -0               
   103 costePositivo[a4,p1,4]
                                   0            -0               
   104 costePositivo[a4,p1,5]
                                1250            -0               
   105 costePositivo[a4,p1,6]
                                   0            -0               
   106 costePositivo[a4,p2,1]
                                   0            -0               
   107 costePositivo[a4,p2,2]
                                   0            -0               
   108 costePositivo[a4,p2,3]
                                   0            -0               
   109 costePositivo[a4,p2,4]
                                   0            -0               
   110 costePositivo[a4,p2,5]
                                   0            -0               
   111 costePositivo[a4,p2,6]
                                   0            -0               
   112 costePositivo[a4,p3,1]
                                   0            -0               
   113 costePositivo[a4,p3,2]
                                   0            -0               
   114 costePositivo[a4,p3,3]
                                   0            -0               
   115 costePositivo[a4,p3,4]
                                   0            -0               
   116 costePositivo[a4,p3,5]
                                   0            -0               
   117 costePositivo[a4,p3,6]
                                   0            -0               
   118 costePositivo[a4,p4,1]
                                   0            -0               
   119 costePositivo[a4,p4,2]
                                   0            -0               
   120 costePositivo[a4,p4,3]
                                   0            -0               
   121 costePositivo[a4,p4,4]
                                   0            -0               
   122 costePositivo[a4,p4,5]
                                   0            -0               
   123 costePositivo[a4,p4,6]
                                   0            -0               
   124 costePositivo[a5,p1,1]
                                   0            -0               
   125 costePositivo[a5,p1,2]
                                   0            -0               
   126 costePositivo[a5,p1,3]
                                   0            -0               
   127 costePositivo[a5,p1,4]
                                   0            -0               
   128 costePositivo[a5,p1,5]
                                   0            -0               
   129 costePositivo[a5,p1,6]
                                   0            -0               
   130 costePositivo[a5,p2,1]
                                   0            -0               
   131 costePositivo[a5,p2,2]
                                   0            -0               
   132 costePositivo[a5,p2,3]
                                   0            -0               
   133 costePositivo[a5,p2,4]
                                   0            -0               
   134 costePositivo[a5,p2,5]
                                   0            -0               
   135 costePositivo[a5,p2,6]
                                   0            -0               
   136 costePositivo[a5,p3,1]
                                   0            -0               
   137 costePositivo[a5,p3,2]
                                   0            -0               
   138 costePositivo[a5,p3,3]
                                   0            -0               
   139 costePositivo[a5,p3,4]
                                   0            -0               
   140 costePositivo[a5,p3,5]
                                   0            -0               
   141 costePositivo[a5,p3,6]
                                   0            -0               
   142 costePositivo[a5,p4,1]
                                   0            -0               
   143 costePositivo[a5,p4,2]
                                   0            -0               
   144 costePositivo[a5,p4,3]
                                   0            -0               
   145 costePositivo[a5,p4,4]
                                   0            -0               
   146 costePositivo[a5,p4,5]
                                   0            -0               
   147 costePositivo[a5,p4,6]
                                1000            -0               
   148 unAvionSlot[a1,p1,1]
                                   0                          -0 
   149 unAvionSlot[a1,p1,2]
                                   0                          -0 
   150 unAvionSlot[a1,p1,3]
                                   0                          -0 
   151 unAvionSlot[a1,p1,4]
                                   0                          -0 
   152 unAvionSlot[a1,p1,5]
                                   0                           1 
   153 unAvionSlot[a1,p1,6]
                                   0                           1 
   154 unAvionSlot[a1,p2,1]
                                   0                          -0 
   155 unAvionSlot[a1,p2,2]
                                   0                          -0 
   156 unAvionSlot[a1,p2,3]
                                   0                           1 
   157 unAvionSlot[a1,p2,4]
                                   0                           1 
   158 unAvionSlot[a1,p2,5]
                                   0                          -0 
   159 unAvionSlot[a1,p2,6]
                                   0                          -0 
   160 unAvionSlot[a1,p3,1]
                                   0                           1 
   161 unAvionSlot[a1,p3,2]
                                   1                           1 
   162 unAvionSlot[a1,p3,3]
                                   0                           1 
   163 unAvionSlot[a1,p3,4]
                                   0                          -0 
   164 unAvionSlot[a1,p3,5]
                                   0                          -0 
   165 unAvionSlot[a1,p3,6]
                                   0                           1 
   166 unAvionSlot[a1,p4,1]
                                   0                           1 
   167 unAvionSlot[a1,p4,2]
                                   0                          -0 
   168 unAvionSlot[a1,p4,3]
                                   0                          -0 
   169 unAvionSlot[a1,p4,4]
                                   0                          -0 
   170 unAvionSlot[a1,p4,5]
                                   0                           1 
   171 unAvionSlot[a1,p4,6]
                                   0                           1 
   172 unAvionSlot[a2,p1,1]
                                   0                          -0 
   173 unAvionSlot[a2,p1,2]
                                   0                          -0 
   174 unAvionSlot[a2,p1,3]
                                   0                          -0 
   175 unAvionSlot[a2,p1,4]
                                   0                          -0 
   176 unAvionSlot[a2,p1,5]
                                   0                           1 
   177 unAvionSlot[a2,p1,6]
                                   0                           1 
   178 unAvionSlot[a2,p2,1]
                                   0                          -0 
   179 unAvionSlot[a2,p2,2]
                                   0                          -0 
   180 unAvionSlot[a2,p2,3]
                                   0                           1 
   181 unAvionSlot[a2,p2,4]
                                   0                           1 
   182 unAvionSlot[a2,p2,5]
                                   0                          -0 
   183 unAvionSlot[a2,p2,6]
                                   0                          -0 
   184 unAvionSlot[a2,p3,1]
                                   0                           1 
   185 unAvionSlot[a2,p3,2]
                                   0                           1 
   186 unAvionSlot[a2,p3,3]
                                   0                           1 
   187 unAvionSlot[a2,p3,4]
                                   0                          -0 
   188 unAvionSlot[a2,p3,5]
                                   0                          -0 
   189 unAvionSlot[a2,p3,6]
                                   0                           1 
   190 unAvionSlot[a2,p4,1]
                                   1                           1 
   191 unAvionSlot[a2,p4,2]
                                   0                          -0 
   192 unAvionSlot[a2,p4,3]
                                   0                          -0 
   193 unAvionSlot[a2,p4,4]
                                   0                          -0 
   194 unAvionSlot[a2,p4,5]
                                   0                           1 
   195 unAvionSlot[a2,p4,6]
                                   0                           1 
   196 unAvionSlot[a3,p1,1]
                                   0                          -0 
   197 unAvionSlot[a3,p1,2]
                                   0                          -0 
   198 unAvionSlot[a3,p1,3]
                                   0                          -0 
   199 unAvionSlot[a3,p1,4]
                                   0                          -0 
   200 unAvionSlot[a3,p1,5]
                                   0                           1 
   201 unAvionSlot[a3,p1,6]
                                   0                           1 
   202 unAvionSlot[a3,p2,1]
                                   0                          -0 
   203 unAvionSlot[a3,p2,2]
                                   0                          -0 
   204 unAvionSlot[a3,p2,3]
                                   0                           1 
   205 unAvionSlot[a3,p2,4]
                                   1                           1 
   206 unAvionSlot[a3,p2,5]
                                   0                          -0 
   207 unAvionSlot[a3,p2,6]
                                   0                          -0 
   208 unAvionSlot[a3,p3,1]
                                   0                           1 
   209 unAvionSlot[a3,p3,2]
                                   0                           1 
   210 unAvionSlot[a3,p3,3]
                                   0                           1 
   211 unAvionSlot[a3,p3,4]
                                   0                          -0 
   212 unAvionSlot[a3,p3,5]
                                   0                          -0 
   213 unAvionSlot[a3,p3,6]
                                   0                           1 
   214 unAvionSlot[a3,p4,1]
                                   0                           1 
   215 unAvionSlot[a3,p4,2]
                                   0                          -0 
   216 unAvionSlot[a3,p4,3]
                                   0                          -0 
   217 unAvionSlot[a3,p4,4]
                                   0                          -0 
   218 unAvionSlot[a3,p4,5]
                                   0                           1 
   219 unAvionSlot[a3,p4,6]
                                   0                           1 
   220 unAvionSlot[a4,p1,1]
                                   0                          -0 
   221 unAvionSlot[a4,p1,2]
                                   0                          -0 
   222 unAvionSlot[a4,p1,3]
                                   0                          -0 
   223 unAvionSlot[a4,p1,4]
                                   0                          -0 
   224 unAvionSlot[a4,p1,5]
                                   1                           1 
   225 unAvionSlot[a4,p1,6]
                                   0                           1 
   226 unAvionSlot[a4,p2,1]
                                   0                          -0 
   227 unAvionSlot[a4,p2,2]
                                   0                          -0 
   228 unAvionSlot[a4,p2,3]
                                   0                           1 
   229 unAvionSlot[a4,p2,4]
                                   0                           1 
   230 unAvionSlot[a4,p2,5]
                                   0                          -0 
   231 unAvionSlot[a4,p2,6]
                                   0                          -0 
   232 unAvionSlot[a4,p3,1]
                                   0                           1 
   233 unAvionSlot[a4,p3,2]
                                   0                           1 
   234 unAvionSlot[a4,p3,3]
                                   0                           1 
   235 unAvionSlot[a4,p3,4]
                                   0                          -0 
   236 unAvionSlot[a4,p3,5]
                                   0                          -0 
   237 unAvionSlot[a4,p3,6]
                                   0                           1 
   238 unAvionSlot[a4,p4,1]
                                   0                           1 
   239 unAvionSlot[a4,p4,2]
                                   0                          -0 
   240 unAvionSlot[a4,p4,3]
                                   0                          -0 
   241 unAvionSlot[a4,p4,4]
                                   0                          -0 
   242 unAvionSlot[a4,p4,5]
                                   0                           1 
   243 unAvionSlot[a4,p4,6]
                                   0                           1 
   244 unAvionSlot[a5,p1,1]
                                   0                          -0 
   245 unAvionSlot[a5,p1,2]
                                   0                          -0 
   246 unAvionSlot[a5,p1,3]
                                   0                          -0 
   247 unAvionSlot[a5,p1,4]
                                   0                          -0 
   248 unAvionSlot[a5,p1,5]
                                   0                           1 
   249 unAvionSlot[a5,p1,6]
                                   0                           1 
   250 unAvionSlot[a5,p2,1]
                                   0                          -0 
   251 unAvionSlot[a5,p2,2]
                                   0                          -0 
